text,final_label
Sailors need lifesavers too!!! Wake up world!!!,False
Save Tennessee’s Zoos and Aquariums,False
Doug Ford: Allow Horse Racing to Continue,False
Shift semester end exams in VTU colleges to online mode due to pandemic situation.,False
President Trump: Fight for Monthly Stimulus Payments and be a Hero to the People,False
Justice for EMS,False
Ask Gov. Polis to announce a COVID-19 Relief Package for Food & Bev,False
Stop Exposing Sanitation Workers through Open Bin Garbage Collection,False
Shut down and clean Amazon facilities that test positive for COVID-19 EWR9,False
Illinois for Remote Learning,False
Pay the £500 bonus to all Scottish healthcare workers,False
LAX Employee Busses & COVID-19 Precautions,True
"Help St John become fully funded, it's a travesty they aren't already!",False
International healthcare workers to be able to relocate overseas with minimal ielts hussle,False
Pay the Student Nurses and Midwives,False
Suppression totale des prélèvements CARMF pendant la durée de la crise Covid,False
Shut Down UVIC and Keep Students Safe,True
DO NOT OPEN OUR SCHOOLS DURING COVID-19 CRISIS,False
The Iranian people suffering from Coronavirus; Lift All Medical Sanctions Now,False
NOW! Support House Resolution 151 to protect AAPI communities from hate and bias attacks.,False
Hundred of Myanmar doctors are in turmoil for UK job/exams due to closure of local VFS,False
GOV. BROWN: OPEN POOLS IN OREGON TO COMPETITIVE SWIMMERS IN PHASE 1,False
Request to Make NC A&T Spring 2020 Courses Pass/Fail due to COVID-19,False
De-Densify Cornell's Ithaca Campus By Rescinding Jessica Zhang '24 Acceptance,False
#FlattenTheCurve: Order Stricter Implementation of “Work From Home” in Companies,True
GYMS VS. THE STATE OF ALABAMA,False
A law to close entertainment venues during the COVID-19 outbreak to safeguard jobs.,False
Keep Doulas in the Hospital Supporting Moms during COVID-19,True
Cancellation of final year exams as the risk of Covid 19 spread have increased.,False
"Pettion to Allow for Outdoor, Socially Distanced Workouts",False
"In wake of COVID-19 slowdown, guarantee the American people a Universal Basic Income",False
Cancel Rent and Mortgage Payments during Covid-19,False
HOLD INDIA ACCOUNTABLE FOR HUMAN RIGHTS VIOLATIONS IN KASHMIR,False
Change USF Class Grading to Mandatory Pass/Fail for Spring 2020  Due to COVID-19,False
Urgent resources for COVID-19 in Indigenous Communities,False
Petition to reconsider the decision of eliminating the University of Hartford Spirit teams,False
FLORIDA PRISONERS COVID-19,False
$2000/month to every American #moneyforthepeople #covid19,False
Ontario needs to allow salons to open before they lose their businesses!,False
Temporary Hazard Pay For Grocery Workers During COVID-19 Pandemic,False
BAME LEADERSHIP: A DEMAND FOR A COVID-19 RACE EQUALITY STRATEGY,False
Force Banks to Give Mortgage & Payment Holiday,False
Bring back Maldivians stranded in Malaysia due to Covid 19,False
Require masks in grocery stores to fight COVID-19,True
Access to Covid-19 swabbing for symptomatic NHS and frontline emergency services,False
"AirAsia Should Refund Its’ Customers with Cash Refund, or at least Provide The Options",False
Unmask our children,True
Improve the Mobile Network : Fix Minimum 4G Internet Speed,False
Create a reopening plan that allows internationals to stay in the U​.​S.,False
Audit PMCARES FUND,False
Atlanta Spa Shooting of Asian Women is a Hate Crime,False
"Extenuating Circumstances for international students, University of Surrey",False
"Smithfield has case of COVID-19 in facility in Sioux Falls SD, should shut down for 2 week",False
Close Surrey School District's schools due to Coronavirus spread,False
Make school covid-19 safe,True
Stop the Corona Virus: Close the New Zealand borders: Save the local economy,False
Don’t force students to physically attend school on May 16 in New Jersey.,False
Shutdown PartyTown Guelph to prevent the spread of COVID-19,False
Priority covid-19 testing for healthcare workers with symptoms,False
Africa WILL NOT be the testing ground for the Covid-19 vaccine,False
Shut Down Alabama,False
Save the Graffiti Highway,False
Compensation for Covid-19 fedEx Ground Drivers.,False
Cancel AHSEC board exam,False
Prepping for Tourism Re-Opening to Avoid a COVID-19 Hotspot at Laniakea Beach,False
"Declaration for Change:
Families Advocating for Compassionate Eldercare (FACE)",False
Suspend Boston Exam School Admissions Testing for One Year!,False
Corona-Schutz für Obdachlose - sofortige Unterbringung benötigt!,False
Covid-19 Impfung für Schwangere!,False
STOP the Construction of a New Hog Confinement in Poweshiek! Save Our Air and Water!,False
Temporary Moratorium on Evictions Due to COVID-19 Financial Hardships,False
Cancel Utility Payments for Belizean Households,False
Extended Temporary bonus COVID-19 Pay,False
Dentistry in South Africa needs your help after the COVID-19 pandemic!,False
Food companies need to set purchase limits!,False
NHS Payrise post Covid - 19,False
Subir el limite en los ayudas de alquilar,False
Protect our Healthcare workers during the COVID-19 War!,False
Personal protective equipment (PPE) is essential to protect health care workers,True
Close Schools during the COVID-19 pandemic,False
Immediate Relief for Rent/Mortgage/Utility Bills in Michigan due to COVID-19,False
Loan forgiveness for nurses actively working during Covid -19,False
Get lawmakers to take action on homelessness,False
India can defeat COVID-19 with more investments in nutrition,False
Banks should freeze mortgage to survive the current COVID-19 shutdown.,False
Save weddings & events! Create an Advisory Group to consult on safely reopening Ohio,False
Stop the immigration ban of Doctors and Nurses and lift the deployment ban for HCWs,False
Allow 17 Year Olds to Receive Their Driver's License In New Jersey Without The Road Test,True
Second chance for seniors!,False
Elderly Woman Battling Breast Cancer Needs Urgent Commutation of Sentence,False
Federal Assistance for Regional Airlines,False
Close Beaverton School District COVID 19,False
Allow Ontario's young athletes a safe return to sports,False
Postponement of GATE 2021 exam due to pandemic situations,False
ECFMG Certification without Step 2 CS,False
Fair treatment of freelance artists during the COVID-19 crisis,False
temporary close campus due to concerns of coronavirus(COVID-19),False
Reform of the Dental Council of New Zealand,False
Arizona Suspend mortgage/rent and utility bills during mandatory Coronavirus shut down,False
#CloseCrownCasino during the Coronavirus Pandemic,False
COVID-19: Demand Serious Action on Health Crisis!,False
"Lakehead, Help Students During COVID-19",False
Utah: Slow the COVID-19 Spread with Mandatory Masks,True
Force Dillard’s to close their Doors,False
Make July 2021 Graduation Happen for Uni of Liverpool Students!,True
Clear the California DMV Backlog: Allow Licensed Driving Instructors to Approve Drivers,False
Reunir fondos para llevar a mi mamá a un hospital particular para que la atiendan,False
Shut down schools in VVSD 365u due to COVID-19,False
"DEAR PRESIDENT UHURU, WE CAN'T BREATH!",False
Open the QLD border to postcodes that have no active cases! Zero Covid = Not a hotspot!,False
Cancellation of ib exams for generations 2020 2021,False
"Suspend Rent, Mortgage, & Utility Payments During the Covid-19 (coronavirus) Pandemic",False
Appeal to reduce university tuition in JA now that classes are online amidst COVID-19,False
Demanding Hazard Pay for Instacart Workers: The Frontline of COVID-19,False
Free parking for hospital staff during COVID-19 pandemic in Canada.,False
CERB Must Include Students and Seasonal Workers Unable to find Work,False
Stop Increasing Rent During COVID-19,False
More medical supplies needed,False
Slow/Stop Spread of COVID-19 in Milpitas (@WeAsk2Mask),True
WCPSS Ignoring Parents: Tables Still Cleaned With Water Only,False
"Keith Rowley, Fire Yourself!",False
COVID-19: Please allow parents to keep school children at home without repercussions,True
No! to Miramar Furlough,False
Help International Students return to Australia before 2021!,False
Eat Healthy. Avoid pork and scavenger meat - it makes you sick.,False
Protect our migrant workers from Covid-19,False
COVID 19 AND CANCELLED FLIGHTS,False
Require Frequent COVID-19 Testing at Villanova,False
Help stop the destruction of 400 million-year-old Ainslie Volcanics,False
Postpone or cancel VTU semester exams due to COVID-19 fears.,False
Stop the demolition of the Monument of Anti-Chico Dams Struggle Heroes,False
Make Northeastern University a Sanctuary Campus,False
"LMU, do right by your students.",False
St. James Town Urgently Needs Space for Food Security,False
Protect the arts from economic devastation following COVID-19 closures,False
Don’t relax lockdown until the NHS has sufficient supplies of PPE,True
"CANCEL BOARD EXAMS! 
HEALTH>>EXAMS",False
Get all school staff and nurseries vaccinated over Feb half term so schools can reopen,False
"Vote of no confidence in Willie Walsh, Alex Cruz & the British Airways Board",False
Covid-19 vs. Prisoners,False
Close all New Jersey schools due to COVID-19 virus,False
Launch a COVID-19 Vaccination Program for the West Bank and the Gaza Strip,False
Local Fire Sirens - should be heard!!,False
SAVE THE PORTLAND CHILDREN'S MUSEUM,False
6 Demands from NHS staff to help us tackle Coronavirus,False
Make 0% Interest Student Loans Permanent,False
Full Lockdown from government of Malaysia due to Covid 19 spreading.,False
"Support fair pay for NZ's aged care nurses - PETITION CLOSED WE REACHED 15,000! THANKS!",False
Rollins College's Spring Semester changed to PASS/FAIL grades due to COVID-19,False
RESCHEDULING OF IIE GRADUATION,False
Justice for 89-year-old Asian American Hate Crime Victim,False
India - Immediately Designate Private Hospitals as COVID Govt Hospitals Until COVID clears,False
Save the saviors,False
Save John Lewis Peterborough,False
Reduce the 4700 rm quarantine charges or home quarantine for international students.,False
Shut Down All B​.​C Schools Due To Covid-19,False
Hold Town Sports International Holdings financially liable for holding accounts COVID-19,False
Reduce OSU tuition-and-fees cost in response to COVID-19 and remote learning changes,False
Government must honor Doctors & Frontline Workers who died as Covid Warriors with medals.,False
RECALL TEXAS GOVERNOR GREG ABBOTT,False
A second stimulus check for Americans!,False
"COVID-19 Single parents and guardians of minors must not work, the government must cover t",False
Rapid testing for COVID-19,False
uOttawa Make Pass/Fail an Option for Classes the Winter Semester due to COVID,False
Null and void the Premier League,False
Free public transport for NHS staff to accompany 1% pay rise,False
PM please give immediate COVID Insurance cover to all NHS staff,False
SAY NO TO OSHA PROPOSED PERMANENT RULE,False
(NTU) - Viewing of results before deciding to S/U,False
